ID,Mass,Bfld,Type
1,558791700000.0,0.26890853,Pre-Infall
3,171551460000.0,0.21590485,Pre-Infall
5,192150200000.0,0.91555005,Pre-Infall
6,289372440000.0,8.673389,Pre-Infall
7,192698550000.0,0.31197864,Pre-Infall
16,100577210000.0,0.14301518,Pre-Infall
38,23341218000.0,1.2898022,Pre-Infall
73,18337368000.0,1.4860094,Pre-Infall
98,10569805000.0,0.36686543,Pre-Infall
112,17715710000.0,2.6785624,Pre-Infall
17191,151321760000.0,9.414583,Pre-Infall
31406,4146651600.0,1.7967885,Pre-Infall
31419,2847628800.0,1.3478162,Pre-Infall
41586,667876800000.0,5.1194625,Pre-Infall
41588,102050530000.0,1.4977732,Pre-Infall
41589,91107990000.0,0.31286228,Pre-Infall
41590,137470900000.0,3.2091746,Pre-Infall
41603,15950811000.0,1.4432572,Pre-Infall
41644,11851558000.0,0.6096492,Pre-Infall
41646,9637245000.0,0.63694537,Pre-Infall
41648,6152393700.0,1.792295,Pre-Infall
41650,3600551700.0,2.5632288,Pre-Infall
41665,5838979000.0,6.562072,Pre-Infall
52625,70825116000.0,0.40153033,Pre-Infall
52627,70908470000.0,2.5908911,Pre-Infall
52683,2004620000.0,4.7581224,Pre-Infall
60742,55219730000.0,0.07558331,Pre-Infall
60750,60879282000.0,0.0939777,Pre-Infall
60773,20963588000.0,2.5753376,Pre-Infall
60776,3825247200.0,1.0460106,Pre-Infall
60782,8447999500.0,2.278221,Pre-Infall
60788,2340149500.0,2.215134,Pre-Infall
60793,2411471400.0,1.7959772,Pre-Infall
60797,2067126500.0,1.1755129,Pre-Infall
60813,1276101100.0,0.8550939,Pre-Infall
60821,2730072300.0,0.8023456,Pre-Infall
69565,3055820000.0,3.0929818,Pre-Infall
76097,41155160000.0,0.23820151,Pre-Infall
76104,28632482000.0,1.3526765,Pre-Infall
76112,4474900500.0,0.31205675,Pre-Infall
76114,10693217000.0,1.2956389,Pre-Infall
76125,9282978000.0,5.349132,Pre-Infall
76133,16775853000.0,2.3497057,Pre-Infall
76134,3119252500.0,0.94172925,Pre-Infall
76135,2901428700.0,0.92892855,Pre-Infall
76141,2465933600.0,0.37954694,Pre-Infall
76143,4199735600.0,0.88971335,Pre-Infall
76163,1056951230.0,1.143619,Pre-Infall
76171,1814619300.0,1.4047586,Pre-Infall
76172,3288611300.0,1.5755557,Pre-Infall
76183,1179207800.0,0.56384766,Pre-Infall
83282,225252970000.0,0.24582146,Pre-Infall
83341,1776408300.0,1.4917641,Pre-Infall
88671,46148866000.0,0.23149641,Pre-Infall
