Mass,Bfld,ID
3705584700000.0,0.3618671,0
2285440000000.0,0.431471,17185
2833792600000.0,0.39145732,31342
1424632000000.0,0.2958836,41582
1202325400000.0,0.39897144,52618
1340881100000.0,0.29673654,60731
2225182000000.0,0.31055525,69507
952085840000.0,0.21713574,76086
2094143800000.0,0.3254417,83280
2066222500000.0,0.34086794,88663
1750284400000.0,0.29842603,96500
1596471900000.0,0.27373293,102683
594922600000.0,0.25570568,108012
973366030000.0,0.2856615,114389
1184906600000.0,0.26046118,118679
957710300000.0,0.26976305,121863
935517200000.0,0.20394225,125028
1317181800000.0,0.29001245,128393
805841700000.0,0.24000902,131047
803658140000.0,0.26617047,134847
848021000000.0,0.29015133,137885
752950800000.0,0.20617352,140721
1546026200000.0,0.24779916,143884
744572300000.0,0.18149492,146176
759625900000.0,0.20650217,149169
776391700000.0,0.227132,152031
869427840000.0,0.24888027,154493
907390940000.0,0.25012168,156809
583304800000.0,0.20964381,158847
765191060000.0,0.20949078,161162
811644700000.0,0.23063593,163675
675072800000.0,0.19576861,165727
981016050000.0,0.2317107,168390
767100900000.0,0.26239657,170540
409634440000.0,0.1710722,172649
526173900000.0,0.23082198,175238
1310888200000.0,0.20889778,177719
586140500000.0,0.23662315,179886
349531200000.0,0.19306141,181983
756219000000.0,0.23186317,184828
795161100000.0,0.23967499,186927
924853700000.0,0.28677776,188859
647510600000.0,0.19826154,191079
290691320000.0,0.20280902,192898
548107550000.0,0.24040793,194947
359984170000.0,0.1851909,197108
794443640000.0,0.22762811,199321
397307740000.0,0.27837625,200803
493694600000.0,0.21402875,202634
502057140000.0,0.18265009,204234
996452900000.0,0.23802269,206226
632536560000.0,0.22734348,207473
443162620000.0,0.23641342,208781
478154720000.0,0.17328495,210764
673428340000.0,0.22693649,212836
520558480000.0,0.21500374,214452
460412940000.0,0.18900876,216016
427987470000.0,0.24025741,217485
586616500000.0,0.19287302,219032
255297750000.0,0.15880062,220558
430519320000.0,0.19779018,222267
396798360000.0,0.2588896,223896
745278600000.0,0.1945196,225155
699179700000.0,0.17425422,226194
805006340000.0,0.22931084,227574
426476730000.0,0.15390265,228680
574359400000.0,0.2107735,230235
339546870000.0,0.29361796,231707
337031270000.0,0.15376621,233214
577594300000.0,0.16965564,234514
584529740000.0,0.1872866,235692
377551260000.0,0.15611972,236756
254601900000.0,0.17510982,237941
588400700000.0,0.20202647,239245
300631600000.0,0.17038672,239993
298924340000.0,0.19225807,241153
542831050000.0,0.15036835,242214
207062480000.0,0.17034283,243186
383149400000.0,0.2084717,244318
321478820000.0,0.15089875,245134
505770000000.0,0.1737562,247348
329978000000.0,0.19981474,248157
197286800000.0,0.20177718,249164
370744330000.0,0.15701252,250390
460108630000.0,0.1663007,251299
453801740000.0,0.21209414,252245
133897710000.0,0.1413096,252995
325962240000.0,0.17785461,254112
479133070000.0,0.16136464,254925
345107800000.0,0.17214158,255614
493368670000.0,0.1759813,256507
385731360000.0,0.15383284,257302
254566840000.0,0.15476264,258263
168117100000.0,0.13873066,259114
383550880000.0,0.1584874,260014
168315110000.0,0.11924078,260862
373840020000.0,0.16514522,261959
209761670000.0,0.14144719,262659
139103980000.0,0.12992015,263558
250159450000.0,0.14007469,264412
486024380000.0,0.16792692,265267
289737050000.0,0.16190305,265926
220931590000.0,0.16052896,266559
537454180000.0,0.12571813,267323
452091120000.0,0.1706556,268295
434282460000.0,0.20480484,268908
356147460000.0,0.16229463,269440
275805100000.0,0.12970425,270079
246565220000.0,0.1652111,270963
447374230000.0,0.1572042,271729
170612030000.0,0.16115426,272322
239419950000.0,0.16496463,273141
242867240000.0,0.1331222,273994
444180370000.0,0.15244836,274790
210072140000.0,0.15035088,275531
286516180000.0,0.17026423,276219
265185510000.0,0.15405901,277020
407235430000.0,0.15856947,277687
277248440000.0,0.15228589,278302
207027720000.0,0.12740824,278854
238982820000.0,0.15119693,279707
393024900000.0,0.12914424,281072
214353250000.0,0.23483889,281700
312585000000.0,0.14673783,282377
433688250000.0,0.1551272,283011
384981630000.0,0.14367901,283637
225240090000.0,0.16533184,284316
280846370000.0,0.15843374,284948
409374800000.0,0.14637372,285479
240107450000.0,0.1552108,286066
222084700000.0,0.14666468,286695
161731380000.0,0.109622315,287335
251596780000.0,0.2537751,288015
301739300000.0,0.13681576,288743
317980800000.0,0.18586753,289426
251364720000.0,0.13479865,289945
288316230000.0,0.14878003,290643
98030500000.0,0.1356458,291113
315171730000.0,0.16390958,291888
230271420000.0,0.12323109,292355
205543370000.0,0.16695654,292921
239302980000.0,0.09817969,293439
223301370000.0,0.1417654,294047
232857670000.0,0.16253462,294510
277380560000.0,0.12742998,295077
125698030000.0,0.09668658,295674
373360200000.0,0.13666028,296302
314714260000.0,0.16423999,296787
232211560000.0,0.1603579,297210
303595300000.0,0.14158447,297712
168768670000.0,0.112505294,298206
200816120000.0,0.16115822,298892
185196270000.0,0.11727861,299429
272480400000.0,0.110256866,299935
109295935000.0,0.14025281,300568
117198240000.0,0.25019985,301128
285276050000.0,0.12979572,301746
123844150000.0,0.62955254,302166
226094530000.0,0.14610691,302773
354795230000.0,0.15043946,303362
291303230000.0,0.1498819,303710
409518500000.0,0.12410034,304201
286419260000.0,0.13218896,304726
180961310000.0,0.11309729,305083
220793000000.0,0.10999519,305653
314922070000.0,0.16518933,306058
329530100000.0,0.13890557,306516
233390720000.0,0.11840832,306945
196849780000.0,0.13811782,307438
110026430000.0,0.09800819,308061
217210180000.0,0.14267033,309045
90830310000.0,0.115869515,309428
147142020000.0,0.13547882,310509
259121790000.0,0.115250774,310985
205794210000.0,0.11694882,312891
170083660000.0,0.90189195,313403
205697450000.0,0.16438273,313954
310966450000.0,0.12082819,314365
288010370000.0,0.15951401,314770
252593240000.0,0.123607524,315140
183169170000.0,0.14313933,316029
192413710000.0,0.15347072,316354
205690550000.0,0.11653669,317711
187321070000.0,0.10901729,318210
173755320000.0,0.119722426,318633
231894120000.0,0.15975763,319643
205751800000.0,0.10902888,320012
294845450000.0,0.12083763,320433
213697840000.0,0.14108382,321204
232171320000.0,0.13515744,321674
249788960000.0,0.12492606,322160
97311170000.0,0.110599875,322581
153579630000.0,0.10059092,322979
236537890000.0,0.11961567,323455
242891570000.0,0.1319746,323851
182152840000.0,0.16042238,324127
170726160000.0,0.13090114,324997
149315630000.0,0.15052697,325808
111854666000.0,0.11798099,326217
185229050000.0,0.14126953,326652
269193690000.0,0.13311893,327112
253249500000.0,0.13780133,327405
131739976000.0,0.14763197,327822
119007450000.0,0.3326887,328252
109435740000.0,0.11108488,328677
184702940000.0,0.11506707,329105
152371000000.0,0.1464583,329515
159113150000.0,0.14071187,329849
243202950000.0,0.10285869,330208
151698000000.0,0.12310508,330553
254880140000.0,0.15004869,330955
235387390000.0,0.12923403,331293
159190500000.0,0.11254538,331701
111310230000.0,0.8501084,332069
163323800000.0,0.10344753,332389
128965894000.0,0.097937465,333258
135917090000.0,0.18980096,333672
195154820000.0,0.16698948,334028
227502770000.0,0.12027568,334350
210472580000.0,0.12250962,334727
231801770000.0,0.09420625,335078
303872080000.0,0.1368459,336276
158706270000.0,0.15525194,336516
222555260000.0,0.15423745,336796
140921850000.0,0.10339725,337048
137167210000.0,0.110709645,337444
99846740000.0,0.13351701,337843
149027140000.0,0.125599,338148
254699590000.0,0.079065755,338458
115698024000.0,0.10472062,338817
279158500000.0,0.08606846,339181
172232590000.0,0.08511564,339547
297883270000.0,0.15159392,339862
187365240000.0,0.13437703,340106
197691650000.0,0.12708476,340355
106580020000.0,0.11940347,340585
131789570000.0,0.31127796,340977
180467250000.0,0.09204886,341356
91740610000.0,0.12682262,341683
171742450000.0,0.10891088,342047
205612840000.0,0.12171452,342343
160956900000.0,0.094462745,342689
146771300000.0,0.07051859,343039
138696430000.0,0.09502171,343638
82660370000.0,0.13343109,343988
175588250000.0,0.11676637,344300
111108420000.0,0.09612264,344593
182223980000.0,0.1095179,344987
169913070000.0,0.17824171,345250
80430470000.0,0.24428917,345457
133785895000.0,0.18661651,345812
162481860000.0,0.08788716,346075
156185030000.0,0.14072028,346420
169217250000.0,0.15419647,346748
190243620000.0,0.12192143,346976
198252860000.0,0.13154481,347237
154378100000.0,0.10275423,347508
150089380000.0,0.13146774,347785
141573490000.0,0.11512793,348038
162697800000.0,0.1320457,348334
132886940000.0,0.09789722,348593
106623490000.0,0.11908682,349135
243938310000.0,0.1283463,349414
120214240000.0,0.12620471,349624
149489500000.0,0.094284505,349897
126326145000.0,0.07629022,350183
171956730000.0,0.13584757,350486
191179640000.0,0.20030619,350843
77230830000.0,0.099116676,351071
130061970000.0,0.13394868,351452
93640810000.0,0.12138057,352061
239981020000.0,0.1413425,352359
113231495000.0,0.10235723,352578
166285380000.0,0.09844651,352816
94739866000.0,1.4585983,353168
194695790000.0,0.09709879,353423
206143160000.0,0.12504496,353729
170137960000.0,0.13408251,353973
144978460000.0,0.10089183,354727
99259300000.0,0.11858485,354986
101045080000.0,0.121840276,355537
92032370000.0,0.09879468,355911
200237990000.0,0.16992211,356176
165988600000.0,0.12377434,357235
136175140000.0,0.108897515,357465
216762160000.0,0.11359927,357765
141841040000.0,0.1070801,358016
113927840000.0,0.11037209,358273
146098100000.0,0.12103611,358582
281668680000.0,0.11918563,358886
99377594000.0,0.10108482,359086
144420650000.0,0.10745385,359334
197902780000.0,0.12513877,359639
131284490000.0,0.08734874,359811
193228780000.0,0.11977323,360087
174666170000.0,0.14081392,360294
208451600000.0,0.06258062,360509
257179010000.0,0.11207391,360750
70348734000.0,0.07766361,360916
91824150000.0,0.16086915,361189
80455760000.0,0.07215692,361418
70542210000.0,0.13742279,361752
220944470000.0,0.12643076,362042
228901600000.0,0.11321189,362370
95800260000.0,0.14419377,362551
161793500000.0,0.120477706,362780
