Mass,Bfld,ID
627139600000.0,3.1266096,2
133340406000.0,0.35197297,4
86144800000.0,0.44960803,18
13369901000.0,1.2224566,37
26985705000.0,0.67069155,39
7974474000.0,0.62692046,42
25130009000.0,1.5407952,43
12423550000.0,1.2999487,51
28036592000.0,7.404325,52
11286389000.0,0.77701825,62
22581870000.0,4.2422295,72
5657393700.0,2.9174833,113
2123983700.0,3.2313747,116
3091200800.0,0.40359262,119
5784182300.0,1.8602442,123
2439587800.0,1.4065204,136
1686553200.0,0.5798412,139
2222649900.0,2.5319128,140
5138805000.0,1.6984828,143
4372389400.0,3.282114,144
2232028200.0,1.7085352,151
2438026200.0,2.5138743,154
1474440700.0,0.6789382,184
1517670100.0,1.6139915,197
1639181600.0,7.735026,530
604629430000.0,6.194103,17187
154244300000.0,0.73462576,17189
38508786000.0,2.3209393,17216
18886770000.0,8.625598,17231
14199159000.0,5.078376,17234
4906056700.0,7.6727247,17261
1961643100.0,3.3226755,17282
1214990600.0,3.7854402,17288
2252732700.0,3.089681,17290
89276540000.0,0.80247617,31345
163830320000.0,0.19779238,31346
87549590000.0,1.3466343,31348
15886608000.0,1.7465943,31400
6202749000.0,1.1317049,31403
6567131000.0,1.443315,31410
2597489200.0,1.1078962,31413
1368745600.0,2.1431477,31416
839004850000.0,0.5644208,41583
136531030000.0,0.39575145,41587
72545500000.0,0.8559426,41592
22268700000.0,0.72136927,41600
46139580000.0,4.2148447,41604
17741976000.0,0.612719,41608
21908406000.0,1.1278901,41612
31612680000.0,1.7221346,41616
29921876000.0,2.8702235,41620
14321729000.0,1.0758709,41636
11121839000.0,3.7169437,41642
7788691000.0,0.9392773,41657
2373232600.0,0.7603874,41661
2831805000.0,0.49867344,41671
1679922600.0,1.1916662,41710
44542603000.0,2.1254854,52630
35399885000.0,6.8334394,52635
7844070400.0,2.5979888,52669
272559010000.0,0.6813436,60737
85223330000.0,0.098007776,60738
86350290000.0,5.361504,60749
36111213000.0,1.1189026,60754
4641468000.0,0.70189494,60768
3356320000.0,1.9442575,60779
3345315300.0,3.8449502,60794
2176411000.0,1.6919607,60804
47931646000.0,0.2652779,69514
68764070000.0,5.5914755,69520
22564231000.0,7.127195,69527
9459187000.0,0.9003771,69533
13246662000.0,1.0841337,69538
11382115000.0,1.411661,69543
87277360000.0,2.0571167,76096
37372514000.0,0.15401055,76100
10262377000.0,0.697767,76116
14013834000.0,0.5321173,76119
8589618700.0,0.76046675,76126
1566393900.0,10.35746,76314
2635849000.0,5.4682193,83334
11060152000.0,0.82927823,88685
8146694700.0,1.6904606,88694
4352277500.0,0.9966417,88718
2861566700.0,1.419505,88742
36377070000.0,0.35835782,96512
45075034000.0,0.16069266,96515
1530066700.0,1.7496294,96544
2371601000.0,0.840928,102712
5157285000.0,3.2446547,102719
13452331000.0,1.2067024,108038
5934840000.0,0.9078356,108041
21439267000.0,2.2222297,108042
6770778000.0,1.4529291,108044
5805069000.0,1.7283117,108060
1019567550.0,1.0193783,108084
10656633000.0,2.0568595,114402
11118427000.0,1.2396908,121882
7168813600.0,0.6710531,125047
2121385000.0,1.9764715,125058
4445689300.0,1.2749718,134884
1073452400.0,0.85687697,134898
3372438000.0,1.2674048,137909
20370640000.0,0.20956308,143887
84773060000.0,0.8126815,146180
4420380700.0,0.42474663,146202
1664407800.0,0.8170167,146216
115070304000.0,1.8698146,149172
13748980000.0,2.1142712,149177
52829127000.0,0.20465994,158849
13988519000.0,3.3552976,161176
69876710000.0,0.23549671,163677
10431145000.0,0.9381975,163679
4941002000.0,1.3879395,163690
98136060000.0,1.6299001,165729
35820126000.0,3.3970494,170544
49616350000.0,4.408606,170546
147516470000.0,1.5740407,172653
2051225300.0,0.44838205,172672
52523577000.0,5.889949,175246
2386471000.0,9.03965,175293
97119850000.0,1.3481989,179889
51043156000.0,1.4210569,181988
57832240000.0,0.42380908,184829
3064217000.0,0.6135599,186941
17260677000.0,1.5707846,188869
17256036000.0,2.9045656,191086
3200175000.0,2.265424,192933
104398930000.0,2.8934681,197110
2958662700.0,0.65321404,200820
36773335000.0,0.07656857,207476
11520827000.0,0.18774688,207478
1503064000.0,4.4094863,207486
2963140900.0,0.87947845,210774
4342479000.0,1.1170675,210779
7419414500.0,0.66805273,214460
3596027000.0,1.0320035,216035
17822837000.0,2.475987,219036
3913744100.0,1.1623851,223911
19688262000.0,3.015232,230241
7008077300.0,1.1720108,235698
20145314000.0,7.336042,236768
4617010700.0,1.7876278,237950
1025365500.0,1.3003259,237976
15585876000.0,1.3613659,239250
3140898000.0,0.33131978,239999
3927987500.0,0.4734935,240002
59246203000.0,0.23100443,242215
4306778000.0,1.9937615,243199
3912638500.0,1.6060392,243200
7181762000.0,1.1788204,244326
2445353700.0,0.7603443,246242
1240793300.0,0.441275,246243
7678951000.0,1.132701,248163
8471863300.0,0.48886812,249172
5181788000.0,2.1621733,252256
1049879550.0,1.1574508,256520
47855310000.0,2.8277152,257303
246863090000.0,0.7170533,258264
5932456000.0,0.23134114,258267
2001408000.0,1.1366234,259123
2396348200.0,4.128067,259127
6722011000.0,0.3205564,260869
2869652700.0,1.0902201,260871
2025756200.0,0.27524066,260872
1087504300.0,0.41857567,260877
1249087600.0,0.5708292,263578
12755931000.0,0.81190675,265929
2345325300.0,1.9726251,267326
10124943000.0,0.8415385,270084
4020094500.0,0.38869554,272326
7683783000.0,1.6437504,275538
16514327000.0,1.8089831,276223
15038231000.0,0.7442263,278855
1033364030.0,0.68093574,278861
2238013000.0,0.7960313,282379
9777081000.0,0.51505244,284954
64474305000.0,0.94337523,286696
4791062500.0,1.6117169,292924
4360039400.0,1.6832792,295682
1349425200.0,0.47925362,296311
1453169800.0,1.0649041,301140
7168398300.0,4.1304054,302779
1515607600.0,0.5644857,304729
21689727000.0,2.1730573,313956
3164464000.0,3.0495975,319150
4984376300.0,1.7035823,320746
16085510000.0,0.8695059,336797
3884831500.0,0.9854182,347515
4098667800.0,0.8794998,348896
2291912000.0,0.117132306,349900
6472570000.0,0.95855194,353976
5927506400.0,0.9592952,354729
2155444000.0,0.77547693,354991
17016106000.0,0.18954432,363738
21187768000.0,0.2885128,373952
6916615700.0,0.9093461,379322
1092708000.0,17.248684,382932
3476176000.0,0.7849588,396075
7756945400.0,0.2022223,402770
2657970400.0,0.47663644,420305
3488710400.0,1.3417717,482170
