Mass,Bfld,ID
558791700000.0,0.26890853,1
171551460000.0,0.21590485,3
192150200000.0,0.91555005,5
289372440000.0,8.673389,6
192698550000.0,0.31197864,7
100577210000.0,0.14301518,16
23341218000.0,1.2898022,38
18337368000.0,1.4860094,73
10569805000.0,0.36686543,98
17715710000.0,2.6785624,112
151321760000.0,9.414583,17191
4146651600.0,1.7967885,31406
2847628800.0,1.3478162,31419
667876800000.0,5.1194625,41586
102050530000.0,1.4977732,41588
91107990000.0,0.31286228,41589
137470900000.0,3.2091746,41590
15950811000.0,1.4432572,41603
11851558000.0,0.6096492,41644
9637245000.0,0.63694537,41646
6152393700.0,1.792295,41648
3600551700.0,2.5632288,41650
5838979000.0,6.562072,41665
70825116000.0,0.40153033,52625
70908470000.0,2.5908911,52627
2004620000.0,4.7581224,52683
55219730000.0,0.07558331,60742
60879282000.0,0.0939777,60750
20963588000.0,2.5753376,60773
3825247200.0,1.0460106,60776
8447999500.0,2.278221,60782
2340149500.0,2.215134,60788
2411471400.0,1.7959772,60793
2067126500.0,1.1755129,60797
1276101100.0,0.8550939,60813
2730072300.0,0.8023456,60821
3055820000.0,3.0929818,69565
41155160000.0,0.23820151,76097
28632482000.0,1.3526765,76104
4474900500.0,0.31205675,76112
10693217000.0,1.2956389,76114
9282978000.0,5.349132,76125
16775853000.0,2.3497057,76133
3119252500.0,0.94172925,76134
2901428700.0,0.92892855,76135
2465933600.0,0.37954694,76141
4199735600.0,0.88971335,76143
1056951230.0,1.143619,76163
1814619300.0,1.4047586,76171
3288611300.0,1.5755557,76172
1179207800.0,0.56384766,76183
225252970000.0,0.24582146,83282
1776408300.0,1.4917641,83341
46148866000.0,0.23149641,88671
36523730000.0,0.87136,88675
19429499000.0,1.4114008,88680
11779304000.0,1.0096977,88681
8823331000.0,0.83279026,88684
11154941000.0,2.0856855,88686
17151618000.0,1.504357,88695
4748060000.0,1.8014585,88699
2903748400.0,1.8439442,88708
5858052600.0,10.469933,88716
2564642800.0,1.4290736,88730
1198288400.0,1.7863206,88740
2478650400.0,7.1981425,88753
19416620000.0,1.0813518,96513
5980207000.0,0.23557144,96523
10872382000.0,1.0049504,96542
3050316800.0,2.3339117,96597
4654016000.0,0.72972167,102699
4385938000.0,0.7694687,102721
1420106900.0,1.1771116,102722
49278040000.0,5.7474847,108025
18851054000.0,0.95475197,108027
19547939000.0,0.9320751,108028
8306887000.0,1.0039638,108029
19263040000.0,3.8406925,108031
15377979000.0,4.0820565,108047
6946676000.0,1.1182616,108050
4918393300.0,0.6962478,108051
1458308500.0,2.5393364,108052
6925390000.0,3.4968004,108056
1839158400.0,0.8175071,108057
1852717800.0,2.0893924,108058
1326261000.0,1.9122524,108062
1611568600.0,2.7659717,108064
1812370400.0,0.6764414,108066
1286797800.0,1.1951431,108067
1632342900.0,4.0881233,108072
1892959600.0,2.702259,108080
1400180000.0,1.1856315,108092
3773584400.0,19.194927,108125
11402887000.0,0.92585397,114405
4756249600.0,1.3200165,114406
3104269000.0,0.60933036,114412
10411974000.0,26.616558,114424
8242168300.0,69.47009,114429
23860340000.0,0.51198137,118687
4369501700.0,1.501407,118702
2990287400.0,0.48050532,118734
2374419500.0,1.4224632,121900
111231080000.0,3.0020823,125031
11302903000.0,0.7389303,125044
10211061000.0,1.0243038,125045
19086310000.0,6.179754,125048
7498398700.0,1.4454451,125050
4589733400.0,3.0961702,125055
2256419600.0,1.5677373,125056
2588121900.0,1.5846826,125063
5419195000.0,1.8359085,125067
4657907700.0,6.9861736,128424
1252121100.0,1.0485246,128427
2324367400.0,0.8204336,128429
2580693000.0,0.52682877,134879
4551623700.0,2.749758,134881
2027253800.0,1.560447,140744
5629468700.0,0.96189594,140745
2723083300.0,1.3767147,140748
2169541400.0,0.842457,140749
1832663600.0,1.367993,140751
10014032000.0,4.650534,140753
2246050600.0,0.986292,140754
4856400400.0,1.1512592,140759
2074379100.0,1.152826,140770
7861875000.0,0.56253445,143906
1151612500.0,0.7874089,143913
2690925000.0,0.52036935,143923
38993605000.0,0.11247564,146182
45689467000.0,0.29898405,146183
4328165400.0,0.7036177,146200
1253572900.0,0.9119723,146201
4412101600.0,1.1275644,146203
5478344700.0,0.8918256,146205
3712422700.0,1.3541296,146208
5476265000.0,3.2510793,146211
3094716700.0,0.71824366,146212
2047619000.0,0.65212923,146218
1135439100.0,0.47117662,146228
2079247400.0,0.87383294,146237
1669366400.0,1.1430291,146241
285126900000.0,5.340014,149170
251410380000.0,11.9332905,149171
75416035000.0,0.37626034,149173
18573971000.0,1.0637282,149178
3144343800.0,0.7648627,149185
1528497700.0,0.5788029,149188
10523830000.0,1.827608,149189
3797850400.0,0.60817254,149196
255932760000.0,0.8300345,152032
185906330000.0,0.5755222,152033
8230833000.0,2.3029506,152058
3886790400.0,1.5304335,152063
1680935700.0,0.4729298,152067
1081577700.0,0.5317402,152079
318659230000.0,5.976379,154494
55947020000.0,0.5091477,154495
35128090000.0,1.9048115,154496
33933402000.0,5.5274315,154497
26827821000.0,6.1558156,154500
1933569300.0,1.5601815,154512
32988340000.0,4.6636915,156816
90212610000.0,1.1160916,158848
26869567000.0,1.025335,158853
29614967000.0,1.1387275,158854
2489289500.0,0.1610253,158856
29243910000.0,1.371701,158858
3974605600.0,0.74726355,158859
3158289700.0,0.6837552,158860
5303097300.0,0.75805694,158864
3272954600.0,1.8212601,158871
70078400000.0,3.558517,161165
7662784000.0,1.0868031,161177
5640695000.0,1.7829959,161179
3040191000.0,1.4665643,161202
100359180000.0,0.38913652,163676
11224359000.0,0.80610365,163678
15519767000.0,2.2126737,163683
319900880000.0,0.31624553,165728
15046911000.0,1.1613857,165731
39722734000.0,4.904518,165732
17855300000.0,1.6138439,165733
6643113000.0,0.5316654,165736
4706344000.0,1.1399487,165738
3803981600.0,0.70247996,165739
1309584100.0,2.4370005,165787
71820860000.0,0.17990902,168391
39749485000.0,1.0056995,168394
2932231400.0,0.50159955,168395
7130218500.0,4.444368,168399
1969071200.0,2.14087,168402
11950682000.0,5.7438345,168404
3800385500.0,3.9262831,168407
1008749440.0,2.0483587,168450
70282740000.0,1.4500827,170542
10179759000.0,0.91877246,170553
302962740000.0,0.2604739,172650
205625740000.0,0.36713526,172651
15249467000.0,1.3495796,172655
11660546000.0,0.29389226,172657
20487733000.0,3.321428,172659
19664560000.0,1.3202909,172661
5403949000.0,1.4452475,172662
3494890500.0,1.37873,172663
1072857800.0,1.761212,172688
1242169000.0,8.691119,172733
254932800000.0,2.2536724,175239
222708650000.0,0.529515,175240
40443840000.0,0.43468252,175241
